year,interest_rate,inflation
1954,1.0066666666666666,0.3113325031133263
1955,1.785,-0.27932960893852776
1956,2.7283333333333335,1.5250544662309462
1957,3.105,3.341508277130578
1958,1.5724999999999998,2.729160486502513
1959,3.305,1.0106843777071717
1960,3.215833333333333,1.457975986277904
1961,1.955,1.0707241476472174
1962,2.7083333333333335,1.1987733482018204
1963,3.1783333333333332,1.2396694214876103
1964,3.4966666666666675,1.2789115646258509
1965,4.0725,1.5851692638366277
1966,5.110833333333333,3.015075376884413
1967,4.220000000000001,2.7727856225931102
1968,5.656666666666666,4.271796152885332
1969,8.204166666666666,5.4623862002874946
1970,7.180833333333333,5.838255338482479
1971,4.660833333333334,4.292766688130523
1972,4.430833333333333,3.2722782465528066
1973,8.727500000000001,6.177760063770421
1974,10.502500000000001,11.054804804804807
1975,5.824166666666667,9.143146864965356
1976,5.045,5.74481263549087
1977,5.5375000000000005,6.501683994728347
1978,7.930833333333333,7.630963838856064
1979,11.194166666666666,11.254471129279509
1980,13.355833333333335,13.549201974968405
1981,16.378333333333334,10.3347153402771
1982,12.258333333333333,6.131427000274958
1983,9.086666666666668,3.2124352331606376
1984,10.225,4.300535475234257
1985,8.100833333333332,3.5456441520936854
1986,6.805000000000001,1.898047722342766
1987,6.6575,3.664563217516892
1988,7.5683333333333325,4.077741107444077
1989,9.216666666666667,4.827003030089494
1990,8.099166666666667,5.397956439903218
1991,5.687500000000001,4.234963964538552
1992,3.521666666666667,3.0288196781496968
1993,3.0225000000000004,2.9516569663855297
1994,4.201666666666667,2.6074415921546246
1995,5.836666666666666,2.805419688536559
1996,5.298333333333333,2.931204199934334
1997,5.46,2.337689937307408
1998,5.353333333333333,1.5522790987436696
1999,4.97,2.1880271969735743
2000,6.235833333333333,3.3768572714993006
2001,3.8874999999999997,2.8261711188540595
2002,1.6666666666666667,1.5860316265060348
2003,1.1275,2.2700949733611253
2004,1.3491666666666664,2.6772366930917446
2005,3.2133333333333334,3.3927468454954646
2006,4.964166666666667,3.22594410070407
2007,5.019166666666666,2.8526724815013837
2008,1.9274999999999995,3.839100296650977
2009,0.16,-0.3555462662997444
2010,0.17499999999999996,1.6400434423899046
2011,0.10166666666666668,3.1568415686220375
2012,0.13999999999999999,2.069337265260618
2013,0.10750000000000003,1.464832655627113
2014,0.08916666666666666,1.6222229774082164
2015,0.1325,0.11862713555246263
2016,0.395,1.26158320570533
2017,0.655,2.1301100036596354
